case,cf_floating_decay,alignment_score,structured_hit,repair_mode,bijian_score,top_anomaly,diagnosis,sql_patch
baseline_1990_seed,0.05,42.0,True,strict_json,19.62,正官（37.62）与伤官（14.98）在子月形成剧烈冲克，且日主丙火虽得根气但受旺水克制，导致‘身弱难任官杀’的结构性失衡。,丙火日主在子月失令且正官过旺，导致食伤制杀与财星生官的能量链条断裂，形成严重的五行流通阻滞。,UPDATE physics_interaction_params SET param_value=0.85 WHERE param_key='conflict_penalty_gamma';
baseline_dingsi_yisi,0.05,42.0,True,strict_json,15.96,乙木虚浮无根遭遇强金肃杀,乙木日主无根且受强金克伐，伤官与七杀双旺导致能量结构失衡,UPDATE physics_interaction_params SET param_value=0.85 WHERE param_key='decay_factor';
baseline_1990_seed,0.1,52.0,True,strict_json,19.62,伤官见官（Shang Guan Jian Guan）冲突：高权重的正官星被同等量级的伤官星强力克制，违背了'官印相生'或'食神制杀'的常规流通逻辑。,丙火日主在子月失令，但地支巳寅午三根强固且无衰变，然而正官（37.62）与伤官（14.98）分值过高形成严重冲克，导致能量内耗剧烈。,UPDATE physics_interaction_params SET param_value=0.85 WHERE param_key='conflict_penalty_gamma';
baseline_dingsi_yisi,0.1,42.0,True,strict_json,15.96,乙木虚浮无根与七杀伤官过旺的结构性冲突,乙木日主无根且受强金克伐，伤官七杀双旺导致能量结构崩塌,UPDATE physics_interaction_params SET param_value=0.85 WHERE param_key='CF_FLOATING_DECAY';
baseline_1990_seed,0.15,42.0,True,strict_json,19.62,正官分值(37.62)远超日主丙火在子月的自然承载阈值，且食伤(14.98)虽能制杀但不足以平衡过旺之官，导致五行流通停滞。,丙火日主在子月受克严重，但十神中正官分值过高且根气充足，导致能量流通受阻，形成官杀混杂之象的潜在风险（虽七杀为0，但正官过旺压制食伤），与季节衰败系数不匹配。,UPDATE physics_interaction_params SET param_value=0.85 WHERE param_key='conflict_penalty_gamma';
baseline_dingsi_yisi,0.15,42.0,True,strict_json,15.96,乙木虚浮无根与七杀伤官双透的严重能量失衡,乙木日主无根且受旺火金克泄，呈现‘身弱难任财官’之危局,UPDATE physics_interaction_params SET param_value=0.45 WHERE param_key='root_decay_lambda';
baseline_1990_seed,0.2,42.0,True,strict_json,19.62,正官过旺（37.62）与偏印（16.63）形成‘官印相生’但缺乏食伤通关，导致丙火被过度消耗,丙火日主受正官七杀双重压制且根气虚浮，能量流动受阻,UPDATE physics_interaction_params SET param_value=0.85 WHERE param_key='conflict_penalty_gamma';
baseline_dingsi_yisi,0.2,42.0,True,strict_json,15.96,乙木虚浮无根遭遇强金肃杀,乙木日主无根且受强金克伐，伤官与七杀双旺导致能量结构失衡,UPDATE physics_interaction_params SET param_value=0.45 WHERE param_key='root_decay_lambda';
baseline_1990_seed,0.25,42.0,True,strict_json,19.62,正官虚浮无制且日主根气虽存但受月令子水冲克（子午冲），导致火气郁结无法生发，十神权重与季节能量规律严重背离。,丙火日主在子月受克严重，但十神中正官（37.62）与偏印（16.63）分值过高，导致能量流通受阻，形成‘官印过旺而身弱难任’的结构性失衡。,UPDATE physics_interaction_params SET param_value=0.65 WHERE param_key='conflict_penalty_gamma';
baseline_dingsi_yisi,0.25,42.0,True,strict_json,15.96,乙木虚浮无根与七杀/伤官高亢的严重冲突,乙木日主无根且受强金克伐，导致身弱难任财官，能量结构失衡,UPDATE physics_interaction_params SET param_value=0.85 WHERE param_key='CF_FLOATING_DECAY';
