case,cf_floating_decay,alignment_score,bijian_score,top_anomaly,diagnosis,sql_patch
baseline_1990_seed,0.1,0.0,19.62,未拿到结构化审计结论，请检查 LLM 返回格式。,结构化审计回退：LLM 未返回 diagnosis，建议检查 Prompt 约束。,UPDATE physics_interaction_params SET param_value=0.20 WHERE param_key='CF_FLOATING_DECAY';
baseline_dingsi_yisi,0.1,12.0,15.96,乙木无根 (no_root: true) 却支撑高伤官/七杀分值,"目标天干乙木无根且处于衰败状态，但十神中伤官与七杀分值极高（25.47, 24.81），形成‘虚火克金’的虚假强旺假象，严重违背能量守恒定律。",UPDATE ten_shen_metrics SET decay_factor=0.95 WHERE target_stem='乙' AND no_root=true;
baseline_1990_seed,0.2,0.0,19.62,未拿到结构化审计结论，请检查 LLM 返回格式。,结构化审计回退：LLM 未返回 diagnosis，建议检查 Prompt 约束。,UPDATE physics_interaction_params SET param_value=0.20 WHERE param_key='CF_FLOATING_DECAY';
baseline_dingsi_yisi,0.2,0.0,15.96,未拿到结构化审计结论，请检查 LLM 返回格式。,结构化审计回退：LLM 未返回 diagnosis，建议检查 Prompt 约束。,UPDATE physics_interaction_params SET param_value=0.20 WHERE param_key='CF_FLOATING_DECAY';
baseline_1990_seed,0.3,0.0,19.62,未拿到结构化审计结论，请检查 LLM 返回格式。,结构化审计回退：LLM 未返回 diagnosis，建议检查 Prompt 约束。,UPDATE physics_interaction_params SET param_value=0.20 WHERE param_key='CF_FLOATING_DECAY';
baseline_dingsi_yisi,0.3,0.0,15.96,未拿到结构化审计结论，请检查 LLM 返回格式。,结构化审计回退：LLM 未返回 diagnosis，建议检查 Prompt 约束。,UPDATE physics_interaction_params SET param_value=0.20 WHERE param_key='CF_FLOATING_DECAY';
baseline_1990_seed,0.4,0.0,19.62,未拿到结构化审计结论，请检查 LLM 返回格式。,结构化审计回退：LLM 未返回 diagnosis，建议检查 Prompt 约束。,UPDATE physics_interaction_params SET param_value=0.20 WHERE param_key='CF_FLOATING_DECAY';
baseline_dingsi_yisi,0.4,0.0,15.96,未拿到结构化审计结论，请检查 LLM 返回格式。,结构化审计回退：LLM 未返回 diagnosis，建议检查 Prompt 约束。,UPDATE physics_interaction_params SET param_value=0.20 WHERE param_key='CF_FLOATING_DECAY';
baseline_1990_seed,0.5,0.0,19.62,未拿到结构化审计结论，请检查 LLM 返回格式。,结构化审计回退：LLM 未返回 diagnosis，建议检查 Prompt 约束。,UPDATE physics_interaction_params SET param_value=0.20 WHERE param_key='CF_FLOATING_DECAY';
baseline_dingsi_yisi,0.5,0.0,15.96,未拿到结构化审计结论，请检查 LLM 返回格式。,结构化审计回退：LLM 未返回 diagnosis，建议检查 Prompt 约束。,UPDATE physics_interaction_params SET param_value=0.20 WHERE param_key='CF_FLOATING_DECAY';
