case,cf_floating_decay,alignment_score,structured_hit,repair_mode,bijian_score,top_anomaly,diagnosis,sql_patch
baseline_1990_seed,0.1,52.0,True,strict_json,19.62,正官过旺压制伤官，导致五行流通受阻,丙火日主在子月失令，但地支巳寅午三根强固且无冲克，形成身旺财官两停之局。核心矛盾在于正官（37.62）与伤官（14.98）同现且力量悬殊，构成‘伤官见官’的潜在冲突，虽日主有强根支撑，但官星过旺压制食伤流通，导致能量阻滞。,UPDATE physics_interaction_params SET param_value=0.85 WHERE param_key='conflict_penalty_gamma';
baseline_dingsi_yisi,0.1,42.0,True,strict_json,15.96,乙木虚浮无根遭遇七杀与伤官双重压制,乙木日主无根且受强金克伐，能量结构严重失衡,UPDATE physics_interaction_params SET param_value=0.85 WHERE param_key='CF_FLOATING_DECAY';
baseline_1990_seed,0.2,42.0,True,strict_json,19.62,正官分值(37.62)远超日主承载阈值，导致能量流动阻滞,丙火日主在子月失令，虽根气充足但正官过旺压制生机，形成官杀混杂且食伤制官不力之局,UPDATE physics_interaction_params SET param_value=0.65 WHERE param_key='conflict_penalty_gamma';
baseline_dingsi_yisi,0.2,42.0,True,strict_json,15.96,乙木虚浮无根与七杀伤官双旺的结构性冲突,乙木日主无根且遭旺火金克泄，呈现‘浮木沉沦’之象，能量结构严重失衡,UPDATE physics_interaction_params SET param_value=0.85 WHERE param_key='root_decay_lambda';
baseline_1990_seed,0.3,42.0,True,strict_json,19.62,正官虚浮无制与根气过盛导致的五行流通阻滞,丙火日主在子月受克严重，但正官七杀分值失衡且根气过旺导致能量淤积,UPDATE physics_interaction_params SET param_value=0.85 WHERE param_key='conflict_penalty_gamma';
baseline_dingsi_yisi,0.3,42.0,True,strict_json,15.96,乙木无根而食伤七杀双旺,乙木日主无根且遭旺火金克泄，能量极度虚浮,UPDATE physics_interaction_params SET param_value=0.85 WHERE param_key='CF_FLOATING_DECAY';
baseline_1990_seed,0.4,42.0,True,strict_json,19.62,正官分值(37.62)过高而七杀为0，且日主丙火虽得根但受月令子水克制，缺乏足够的食伤或印星进行有效流通与转化。,丙火日主在子月失令，但根气深厚且七杀缺位，导致正官过旺压制食伤，形成‘官重身轻、制化失衡’的结构性矛盾。,UPDATE physics_interaction_params SET param_value=0.85 WHERE param_key='conflict_penalty_gamma';
baseline_dingsi_yisi,0.4,42.0,True,strict_json,15.96,乙木日主在巳酉丑三合金局中完全失根，导致身弱难任财官,乙木日主无根且受旺火金克泄，呈现‘浮木遭伐’之象，能量极度失衡,UPDATE physics_interaction_params SET param_value=0.85 WHERE param_key='CF_FLOATING_DECAY';
baseline_1990_seed,0.5,45.0,True,strict_json,19.62,正官过旺而日主虽强却缺乏有效流通机制，导致五行能量淤堵于克战。,丙火日主在子月失令，但地支巳寅午三根强固且无根气衰减，导致正官七杀能量（37.62）与比肩劫财（20.91）及伤官食神（20.06）形成剧烈冲克，违背了'身旺需官杀制衡或食伤泄秀'的平衡律，出现官杀虚浮无制之象。,UPDATE physics_interaction_params SET param_value=0.85 WHERE param_key='conflict_penalty_gamma';
baseline_dingsi_yisi,0.5,42.0,True,strict_json,15.96,乙木虚浮受七杀重克而无印化,乙木日主无根且遭强金克伐，能量结构濒临崩塌,UPDATE physics_interaction_params SET param_value=0.85 WHERE param_key='CF_FLOATING_DECAY';
