case,cf_floating_decay,alignment_score,structured_hit,repair_mode,bijian_score,top_anomaly,diagnosis,sql_patch
baseline_1990_seed,0.1,35.0,False,fallback,19.62,未拿到结构化审计结论，请检查 LLM 返回格式。,结构化审计回退：LLM 未返回可解析 JSON，已启用默认评分策略。,UPDATE physics_interaction_params SET param_value=0.20 WHERE param_key='CF_FLOATING_DECAY';
baseline_dingsi_yisi,0.1,45.0,True,strict_json,15.96,目标天干乙木无地支根气支撑 (no_root: true)，却在七杀分值极高 (24.81) 的环境下生存，违反能量守恒与生克平衡定律。,乙木无根且处于衰气，遭遇七杀重克而食伤泄秀不足，导致命局能量严重失衡，核心在于'无根之木难抗强杀'的结构性崩塌。,UPDATE physics_interaction_params SET param_value=0.20 WHERE param_key='CF_FLOATING_DECAY';
baseline_1990_seed,0.2,35.0,False,fallback,19.62,未拿到结构化审计结论，请检查 LLM 返回格式。,结构化审计回退：LLM 未返回可解析 JSON，已启用默认评分策略。,UPDATE physics_interaction_params SET param_value=0.20 WHERE param_key='CF_FLOATING_DECAY';
baseline_dingsi_yisi,0.2,35.0,False,fallback,15.96,未拿到结构化审计结论，请检查 LLM 返回格式。,结构化审计回退：LLM 未返回可解析 JSON，已启用默认评分策略。,UPDATE physics_interaction_params SET param_value=0.20 WHERE param_key='CF_FLOATING_DECAY';
baseline_1990_seed,0.3,35.0,False,fallback,19.62,未拿到结构化审计结论，请检查 LLM 返回格式。,结构化审计回退：LLM 未返回可解析 JSON，已启用默认评分策略。,UPDATE physics_interaction_params SET param_value=0.20 WHERE param_key='CF_FLOATING_DECAY';
baseline_dingsi_yisi,0.3,35.0,False,fallback,15.96,未拿到结构化审计结论，请检查 LLM 返回格式。,结构化审计回退：LLM 未返回可解析 JSON，已启用默认评分策略。,UPDATE physics_interaction_params SET param_value=0.20 WHERE param_key='CF_FLOATING_DECAY';
baseline_1990_seed,0.4,35.0,False,fallback,19.62,未拿到结构化审计结论，请检查 LLM 返回格式。,结构化审计回退：LLM 未返回可解析 JSON，已启用默认评分策略。,UPDATE physics_interaction_params SET param_value=0.20 WHERE param_key='CF_FLOATING_DECAY';
baseline_dingsi_yisi,0.4,35.0,False,fallback,15.96,未拿到结构化审计结论，请检查 LLM 返回格式。,结构化审计回退：LLM 未返回可解析 JSON，已启用默认评分策略。,UPDATE physics_interaction_params SET param_value=0.20 WHERE param_key='CF_FLOATING_DECAY';
baseline_1990_seed,0.5,35.0,False,fallback,19.62,未拿到结构化审计结论，请检查 LLM 返回格式。,结构化审计回退：LLM 未返回可解析 JSON，已启用默认评分策略。,UPDATE physics_interaction_params SET param_value=0.20 WHERE param_key='CF_FLOATING_DECAY';
baseline_dingsi_yisi,0.5,35.0,False,fallback,15.96,未拿到结构化审计结论，请检查 LLM 返回格式。,结构化审计回退：LLM 未返回可解析 JSON，已启用默认评分策略。,UPDATE physics_interaction_params SET param_value=0.20 WHERE param_key='CF_FLOATING_DECAY';
